Index,Year,Opening Weekend Gross,US & Canada Gross,Worldwide Gross,Budget,awards,oscar wins,oscar nominated,Genre,Genre,Genre,Director 1,Director 2,Director 3
1,1994,727327,28767189,28884716,25000000,21,0,1,Drama,,,Frank Darabont,,
2,2008,158411483,534987076,1029266147,185000000,162,2,1,Action,Crime,Drama,Christopher Nolan,,
3,2003,72629713,379427292,1156034881,94000000,215,11,1,Action,Adventure,Drama,Peter Jackson,,
4,1994,9311882,107928762,213928762,8000000,69,1,1,Crime,Drama,,Quentin Tarantino,,
5,2001,47211490,316115420,898523656,93000000,125,4,1,Action,Adventure,Drama,Peter Jackson,,
6,2010,62785337,292587330,839030630,160000000,159,4,1,Action,Adventure,Sci-Fi,Christopher Nolan,,
7,2002,62007528,342952511,948893109,94000000,132,2,1,Action,Adventure,Drama,Peter Jackson,,
8,2014,,,,59301,0,0,0,Documentary,,,Howard Berry,,
9,2013,,,,,0,0,0,Documentary,Music,,Matt Askem,,
10,2014,47510360,188020017,731079637,165000000,44,1,1,Adventure,Drama,Sci-Fi,Christopher Nolan,,
11,1990,6368901,46909721,47036784,25000000,44,1,1,Biography,Crime,Drama,Martin Scorsese,,
12,1999,27788331,172076928,467222728,63000000,42,4,1,Action,Sci-Fi,,Lana Wachowski, Lilly Wachowski,
13,2013,,,,147214,0,0,0,Music,,,Dave Ma,,
14,1995,13949807,100125643,327333559,33000000,29,0,1,Crime,Drama,Mystery,David Fincher,,
15,1999,18017152,136801374,286801374,60000000,15,0,1,Crime,Drama,Fantasy,Frank Darabont,,
16,2007,,,,,0,0,0,Documentary,Music,,Peter Bogdanovich,,
17,2012,30122888,162805434,426074373,100000000,58,2,1,Drama,Western,,Quentin Tarantino,,
18,2006,14801808,53089891,109676311,40000000,6,0,1,Drama,Mystery,Sci-Fi,Christopher Nolan,,
19,2006,26887467,132399394,291480452,90000000,98,4,1,Crime,Drama,Thriller,Martin Scorsese,,
20,1998,156076,6719864,23875127,20000000,4,0,1,Crime,Drama,,Tony Kaye,,
21,1942,181494,4219709,4627326,950000,14,3,1,Drama,Romance,War,Michael Curtiz,,
22,2019,96202337,335477657,1078958282,55000000,121,2,1,Crime,Drama,Thriller,Todd Phillips,,
23,2019,357115007,858373000,2799439100,356000000,70,0,1,Action,Adventure,Drama,Anthony Russo, Joe Russo,
24,2012,160887295,448149584,1085067637,250000000,43,0,0,Action,Drama,Thriller,Christopher Nolan,,
25,1980,622337,45634352,47277357,19000000,6,0,0,Drama,Horror,,Stanley Kubrick,,
26,2018,257698183,678815482,2052415039,321000000,46,0,1,Action,Adventure,Sci-Fi,Anthony Russo, Joe Russo,
27,1984,505276,51973029,52066791,18000000,43,8,1,Biography,Drama,Music,Milos Forman,,
28,1929,,,,,0,0,0,Drama,,,Bryan Foy,,
29,1995,,,,,0,0,0,Documentary,Music,,Randy Rovins,,
30,1995,8445656,67436818,187436818,60000000,0,0,0,Action,Crime,Drama,Michael Mann,,
31,1968,202759,60481243,66452425,12000000,17,1,1,Adventure,Sci-Fi,,Stanley Kubrick,,
